X,text
1,Critical question Was PayTM informed about Demonetization edict by PM Its clearly fishy and requires full disclosure amp…
2,Did you vote on Demonetization on Modi survey app
3,"Former FinSec RBI Dy Governor CBDT ChairHarvard Professor lambaste Demonetization

If not for Aam Aadmi listen to th…"
4,Gurugram Haryana Post office employees provide cash exchange to patients in hospitals demonetization
5,Reddy Wedding mailtoday cartoon demonetization ReddyWedding
6,DerekScissors India’s demonetization Blackmoney a symptom not the disease
7,Rslakh looted from a bank in Kishtwar in JampK Third such incident since demonetization Thats how terrorists have…
8,"Calling all Nationalists to join
Walk for CorruptionFreeIndia and spread the benefits of Demonetization among the mas…"
9,"Many opposition leaders are with narendramodi on the Demonetization 
And respect their decisionbut support oppositio…"
10,National reform now destroyed even the essence of sagan Such instances urge giving demonetization a second though…
11,"Many opposition leaders are with narendramodi on the Demonetization 
And respect their decisionbut support opposition just bcoz of party"
12,Question in Narendra Modi App where PM is taking feedback if people support his DeMonetization strategy
13,Jaggesh Bharat band on edUAUBDedUBUThose whoare protesting demonetizationare all different party leaders
14,The effect of Demonetization
15,When I explained Demonetization to myself and tried to put it down in my words which are not laced with any heavy technical…
16,The Modi app on DeMonetization proves once again that the govt is totally indifferent to the mounting misery and hards…
17,BEFORE and AFTER Gandhi ji heard they are standing there against Demonetization
18,Demonetization The cooperative banking sector in Kerala is as good as a tax haven Is Kerala a Black Money HQ
19,"narendramodi
Swamy
The success of Demonetization will depend on how swiftly govt replenish the currency

Pls avoid Ba…"
20,Doltiwal I mean JaiChandKejriwal is hurt by Demonetization as the same has rendered USELESS edUAUBDedUBU acquired funds No wo…
21,Demonetization Is Disasternaampk
22,After the demonetization searches about NarendraModis app are trending on app stores
23,"Teacher is there anybody who is absent today
No response 
Teacher saysattendance 
Demonetization App survey
DonMu…"
24,This tweet of minimathur BIBI explains why she is having a prob with demonetization In first part she says she cant…
25,demonetization is Communal and Black Money is Secular
26,LOL Demonetization Effect
27,RT roshankar Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact o…
28,arunjaitley narendramodi Lrnd frm a frndBanks r asking employees to comeback sales amp BAU Operations Demonetization
29,Ts is exactly what Pappu amp opposition has done to themselves by opposing Demonetization Now none can stop Modi bandwagon ti…
30,Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact on poortrade
31,dineshgrao you havek followers yet you are not getting enough likes for your tweets against demonetization You need to introspect
32,DeMonetization EffectVisa Master Card Amex all Accepted
33,"DeMonetization survey results afterhours
Lacs opinions
Amazing responseamp Commitment in fight against Blackmoney
na…"
34,demonetization eye opener video bt i doubt as few jurnos dont want hear ve of narendramodi sardesairajdeep ravishndtv…
35,Survey result so far by PMOIndia on Demonetizationlakh response inhrssupports note ban MeraDeshBadalRaha…
36,Is ModiSarkar s achedin campaign on demonetization a goebbelsian masterstroke that turns blind eye to GroundZero shocks…
37,demonetization is Communal and Black Money is Secular
38,MinhazMerchant demonetization hardly affects tax dodgers amp NETAS who excel in CashlessCorruption amp have multiplied bad weal…
39,"Sectionissued by District Magistrate Indore prohibiting socialmedia posts on demonetization Why
citizen"
40,CPIM opposes Coop Banks in West Bengal but supports them in Kerala Y Pawar Uturned on Demonetization
41,RT roshankar Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact o…
42,Demonetization harbhajansingh gives hilarious shagun suggestion to those struggling with wedding season
43,Demonetization The time has come to put MUDRA into action writes Prof R Vaidyanathan
44,Demonetization move of Modi Who is supporting it who is opposing it and why A complete coverage of all parties
45,"Huge support for PM narendramodi ’s demonetization Move Across the Nation 
 people back demonetization Cvoter su…"
46,Effects of sluggish economy negative IIP DemonetizationDoes the Great Leader even bother except continued dra…
47,RT roshankar Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact o…
48,Here sardesairajdeep struggling for one answer against Demonetization He should have taken some Congress leader lik…
49,Demonetization and the Indian Economy An Interview by Doordarshan with Sri SGurumurthy
50,After much contemplation I have come to the conclusion that nothing explains Modis DeMonetization better than monumental…
51,"What demonetization indicates is loss of freedom
Besides lawsconstitutioncourtcopsgovern people
govt is using m…"
52,Ppl of India extending overwhelming supprt to narendramodi Jis crusade agnst black moneySurvey timesofindia…
53,"People from rural areas are coming to Delhi just to withdraw cash 

They have given up on govt logistics 

ravishndtv Demonetization"
54,RT roshankar Harvards Larry Summers calls Demonetization as poor policy with disproportionate negative impact o…
55,demonetizationof population is accepting it as country building measure why these so called politicians opp…
56,"days after demonetization country is still suffering m acute shortage of currency notes
Big losseconomy
Share market tumbling
SOS"
57,Man ends life over fund shortage ahead of daughter’s wedding in Gujarat Demonetization
58,Putting Nation over Party Politics nitishkumar supports PM narendramodi on Demonetization
59,As of todaythousand ATMs are functioningSBI Chairman Smt Arundhati Bhattacharya Demonetization
60,A man shaved his head at JantarMantar in protest against Demonetizationon th day of the move
61,"Very unfortunate India slips due to demonetization 
BJPIndia PMOIndia RanaAyyub TruthOfGujarat AnupamPkher"
62,"What demonetization indicates is loss of freedom
Besides lawsconstitutioncourtcopsgovern people
govt is using moneycontrol people"
63,Cooperative banks shut down sowing season completely disrupted agri markets amp Farmers badly affected demonetization
64,Delete Pathetic PM who conducts false poll and self praises himself demonetization BogusPoll ModiScaredOfParliament…
65,Demonetization
66,Watch what sonunigam thinks about demonetization
67,anandkamal Frankly i dont understand why narendramodi doesnt address Parlmnt on Demonetization Its his dutyampwil…
68,Aam aadmi punished for sins of blackmoney hoarders SBI slashesdeposit rates byDemonetization netascashin
69,"Teacher is there anybody who is absent today
No response 
Teacher saysattendance 
Demonetization App survey
DonMufflerMan edUAUBDedUBUedUAUBDedUBUedUAUBDedUBUAedUAUBDedUBUAE"
70,The queues are not getting longer but are getting shorter day by day Chanda KocharICIC MD and CEO demonetization
71,indianoilcl giving cash through Mini ATMs to people in Hinterland IndiaKaDil Helping rural people in Demonetization…
